NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
2;4;4;0;388.679;1472.8;16089.0;2945.59;4.92011;19.4928;30.0;15.4346;0.016128;768.0;186.906;896.137;7376.0;181.164;557.151;7906.0
2;4;4;1;253.856;965.334;10439.0;1930.67;4.94752;19.4928;30.0;15.4378;0.016128;768.0;186.913;896.137;7376.0;46.4229;49.6888;2260.0
2;4;6;0;;;;;;;;;;;;;;;;
2;4;6;1;367.818;1104.19;15999.0;2208.38;4.88565;19.4928;30.0;30.8512;0.032256;1536.0;192.069;909.291;7628.0;139.881;175.372;6800.0
2;4;8;0;3791.55;34976.0;108951.0;69952.1;4.75969;19.4928;30.0;51.4148;0.05376;2560.0;199.241;926.83;7964.0;3535.88;34029.7;98388.0
2;4;8;1;600.282;1431.57;27279.0;2863.14;4.82199;19.4928;30.0;51.403;0.05376;2560.0;199.163;926.83;7964.0;344.768;485.195;16720.0
2;4;10;0;4205.13;35644.7;128939.0;71289.4;4.66064;19.4928;30.0;77.1035;0.08064;3840.0;208.605;950.215;8412.0;3914.5;34674.9;116648.0
2;4;10;1;850.81;1807.19;39419.0;3614.38;4.74641;19.4928;30.0;77.1073;0.08064;3840.0;208.535;950.215;8412.0;560.293;837.4;27132.0
2;4;12;0;4811.14;36610.8;158127.0;73221.7;4.50928;19.4928;30.0;109.211;19.5949;5396.0;219.614;977.985;8944.0;4477.55;35593.8;143748.0
2;4;12;1;1359.38;2605.65;64011.0;5211.29;4.63351;19.4928;30.0;109.188;19.5949;5396.0;219.496;977.985;8944.0;1025.93;1588.57;49636.0
2;4;14;0;6740.51;42695.5;243805.0;85391.0;4.37857;19.4928;30.0;145.16;19.6325;7188.0;1356.4;5791.06;56356.0;5234.3;36865.3;180222.0
2;4;14;1;1848.04;3372.94;87719.0;6745.88;4.50567;19.4928;30.0;145.18;19.6325;7188.0;233.032;1011.6;9588.0;1465.18;2322.21;70908.0
2;4;16;0;7765.06;44402.1;293247.0;88804.2;5.40576;38.9748;50.0;186.252;19.6755;9236.0;1371.3;5829.07;57084.0;6201.84;38514.4;226868.0
2;4;16;1;2601.41;4587.92;124195.0;9175.83;5.58175;38.9748;50.0;186.242;19.6755;9236.0;247.985;1049.6;10316.0;2161.47;3479.66;104588.0
2;4;18;0;9073.76;46581.4;356319.0;93162.8;5.23532;38.9748;50.0;232.517;19.7239;11540.0;1389.13;5872.91;57924.0;7446.6;40649.8;286796.0
2;4;18;1;4680.21;10897.5;217159.0;21795.1;5.44236;38.9748;50.0;232.505;19.7239;11540.0;1389.58;5872.91;57924.0;3052.54;4965.94;147640.0

