NUM_SERVERS;NUM_CLIENTS;NUM_CANDS;THRESHOLD;BIT_LENGTH;Use_Elliptic_Curve;t_setup;t_gen_ballots;t_make_clients;t_encrypt_ballots;t_send_ballots;time_mixing;time_verifying_proofs;t_pool_shares;t_decrypt;t_tally;time_total
2;32;5;2;3072;False;0.017067909240722656;0.0004718303680419922;0.0005326271057128906;1.7499842643737793;1.1205673217773438e-05;9.5367431640625e-07;2.86102294921875e-06;2.384185791015625e-06;1.9788799285888672;7.939338684082031e-05;3.747056007385254
3;32;5;2;3072;False;0.01711583137512207;0.0004279613494873047;1.7404556274414062e-05;1.7505900859832764;1.4066696166992188e-05;1.6689300537109375e-06;2.384185791015625e-06;3.337860107421875e-06;2.6274240016937256;0.00010013580322265625;4.395718097686768
4;20;3;3;3072;False;0.01732349395751953;0.00036454200744628906;1.3828277587890625e-05;1.0986034870147705;1.0967254638671875e-05;1.1920928955078125e-06;2.384185791015625e-06;2.6226043701171875e-06;2.0597047805786133;6.508827209472656e-05;3.1761183738708496
5;20;3;3;3072;False;0.017441511154174805;0.0004417896270751953;1.71661376953125e-05;1.0960676670074463;1.4543533325195312e-05;1.1920928955078125e-06;2.6226043701171875e-06;3.814697265625e-06;2.4696717262268066;5.6743621826171875e-05;3.5837454795837402
6;20;3;4;3072;False;0.017570972442626953;0.0003638267517089844;1.5020370483398438e-05;1.1010680198669434;1.0251998901367188e-05;1.1920928955078125e-06;2.384185791015625e-06;2.86102294921875e-06;3.334688425064087;4.363059997558594e-05;4.453788757324219
7;20;3;4;3072;False;0.017967700958251953;0.0004010200500488281;2.7418136596679688e-05;1.1028735637664795;1.33514404296875e-05;1.6689300537109375e-06;2.384185791015625e-06;4.76837158203125e-06;3.716886281967163;5.793571472167969e-05;4.83826470375061
8;20;3;5;3072;False;0.017778873443603516;0.0003619194030761719;1.3828277587890625e-05;1.0953271389007568;1.3828277587890625e-05;1.1920928955078125e-06;2.384185791015625e-06;5.245208740234375e-06;4.123115301132202;3.7670135498046875e-05;5.23668360710144
9;20;3;5;3072;False;0.01773357391357422;0.0003643035888671875;1.3113021850585938e-05;1.0885448455810547;1.0967254638671875e-05;1.9073486328125e-06;3.337860107421875e-06;2.86102294921875e-06;4.538318395614624;3.62396240234375e-05;5.645052194595337
10;20;3;6;3072;False;0.017937183380126953;0.0003712177276611328;1.5974044799804688e-05;1.1330721378326416;1.2159347534179688e-05;7.152557373046875e-07;2.1457672119140625e-06;4.0531158447265625e-06;5.513146638870239;5.626678466796875e-05;6.6646409034729
11;20;3;6;3072;False;0.018525123596191406;0.0004038810729980469;1.6689300537109375e-05;1.1028544902801514;1.621246337890625e-05;1.6689300537109375e-06;2.384185791015625e-06;5.7220458984375e-06;5.787774085998535;3.886222839355469e-05;6.909665584564209
12;20;3;7;3072;False;0.018583297729492188;0.0003840923309326172;1.33514404296875e-05;1.098778486251831;1.0728836059570312e-05;1.1920928955078125e-06;2.1457672119140625e-06;4.291534423828125e-06;6.21227765083313;3.719329833984375e-05;7.330115079879761
13;20;3;7;3072;False;0.01869511604309082;0.00043129920959472656;1.6450881958007812e-05;1.101853847503662;1.1444091796875e-05;1.6689300537109375e-06;2.384185791015625e-06;5.0067901611328125e-06;6.61531662940979;5.841255187988281e-05;7.736417055130005
14;20;3;8;3072;False;0.019132137298583984;0.0004775524139404297;1.4066696166992188e-05;1.0986988544464111;1.2636184692382812e-05;1.1920928955078125e-06;2.1457672119140625e-06;5.245208740234375e-06;7.452786207199097;3.62396240234375e-05;8.57118844985962
