NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
2;32;5;0;746.197;1821.44;32337.0;3642.88;16.1839;19.4928;30.0;181.19;19.6701;8980.0;152.173;844.414;5706.0;396.391;937.864;17612.0
3;32;5;0;1304.82;6979.68;68869.0;20914.2;22.5844;38.9857;54.0;228.023;39.3402;13474.0;394.213;3316.3;16421.0;659.712;3585.06;38909.0
4;32;5;0;2032.93;13462.6;114561.0;53751.6;29.7173;58.4785;78.0;231.149;59.0104;17968.0;744.923;6440.56;31712.0;1026.83;6904.55;64790.0
5;32;5;0;3360.72;24301.9;173729.0;121244.0;37.5743;77.9713;102.0;234.746;78.6805;22462.0;1390.55;11725.7;53759.0;1697.54;12419.6;97391.0
6;32;5;0;;;;;;;;;;;;;;;;
7;32;5;0;7454.28;49483.1;319137.0;345461.0;55.0335;116.957;150.0;244.538;118.021;31450.0;3377.48;23977.5;111173.0;3776.89;25270.6;176345.0
8;32;5;0;10557.5;65336.4;407549.0;521222.0;64.7893;136.45;174.0;249.95;137.691;35944.0;4889.4;31705.8;147720.0;5352.98;33356.4;223690.0
9;32;5;0;;;;;;;;;;;;;;;;
5;32;2;0;;;;;;;;;;;;;;;;
5;32;3;0;3016.84;23864.6;129317.0;119061.0;37.6089;77.9713;102.0;97.7312;0.32256;9600.0;1389.77;11725.6;53759.0;1491.43;12060.7;65841.0
5;32;4;0;3158.07;24015.2;147385.0;119813.0;37.5084;77.9713;102.0;163.114;78.4439;15422.0;1390.05;11725.6;53759.0;1567.09;12133.2;78087.0
5;32;5;0;3359.68;24301.9;173729.0;121244.0;37.583;77.9713;102.0;234.852;78.6805;22462.0;1389.63;11725.7;53759.0;1697.32;12419.6;97391.0
5;32;6;0;;;;;;;;;;;;;;;;
5;32;7;0;26878.7;236953.0;1049768.0;;44.2886;155.899;164.0;423.992;157.21;40444.0;10027.0;83229.2;404197.0;16383.1;153411.0;604948.0
5;32;8;0;41661.7;378254.0;1561706.0;;51.1219;233.827;226.0;534.614;157.576;51324.0;10023.0;83229.2;404197.0;31052.7;294634.0;1105944.0
5;32;9;0;42098.9;378817.0;1625596.0;;51.0652;233.827;226.0;665.06;235.912;63546.0;10023.9;83229.3;404197.0;31358.6;295118.0;1157612.0
5;32;10;0;;;;;;;;;;;;;;;;
2;32;5;1;391.88;956.104;16641.0;1912.21;16.2291;19.4928;30.0;181.239;19.6701;8980.0;152.132;844.414;5706.0;42.1861;72.5268;1922.0
3;32;5;1;694.413;3572.47;33666.0;10704.8;22.6192;38.9857;54.0;228.08;39.3402;13474.0;394.45;3316.3;16421.0;49.1618;177.84;3714.0
4;32;5;1;1067.33;6873.99;55299.0;27446.0;29.7553;58.4785;78.0;231.272;59.0104;17968.0;745.053;6440.56;31712.0;61.1388;315.94;5538.0
5;32;5;1;1742.54;12369.1;83720.0;61711.6;37.5412;77.9713;102.0;234.767;78.6805;22462.0;1389.82;11725.7;53759.0;80.2818;486.827;7394.0
6;32;5;1;2625.95;18209.1;116297.0;108988.0;45.9352;97.4641;126.0;238.992;98.3506;26956.0;2232.47;17322.8;79930.0;108.413;690.5;9282.0
7;32;5;1;3825.3;25139.5;153978.0;175512.0;55.046;116.957;150.0;244.164;118.021;31450.0;3379.03;23977.5;111173.0;146.917;926.961;11202.0
8;32;5;1;5404.0;33176.2;196995.0;264669.0;64.9059;136.45;174.0;250.334;137.691;35944.0;4891.04;31705.8;147720.0;197.513;1196.21;13154.0
9;32;5;1;;;;;;;;;;;;;;;;
5;32;2;1;;;;;;;;;;;;;;;;
5;32;3;1;1568.52;12087.8;66762.0;60307.4;37.5811;77.9713;102.0;97.7758;0.32256;9600.0;1390.02;11725.6;53759.0;43.0314;283.917;3298.0
5;32;4;1;1646.41;12210.3;74314.0;60919.0;37.6101;77.9713;102.0;163.242;78.4439;15422.0;1390.1;11725.6;53759.0;55.3315;328.291;5028.0
5;32;5;1;1742.64;12369.1;83720.0;61711.6;37.5537;77.9713;102.0;234.668;78.6805;22462.0;1389.99;11725.7;53759.0;80.298;486.827;7394.0
5;32;6;1;10469.7;83725.7;445196.0;417634.0;44.2578;155.899;164.0;319.622;78.96;30782.0;10030.0;83229.2;404197.0;75.598;261.618;10050.0
5;32;7;1;10616.7;84043.9;458321.0;419223.0;44.4216;155.899;164.0;424.059;157.21;40444.0;10033.1;83229.2;404197.0;115.003;501.556;13513.0
5;32;8;1;10764.4;84360.0;473165.0;420802.0;51.1217;233.827;226.0;534.688;157.576;51324.0;10023.8;83229.2;404197.0;154.62;739.369;17415.0
5;32;9;1;10927.3;84574.9;489827.0;421874.0;51.0683;233.827;226.0;665.295;235.912;63546.0;10022.9;83229.3;404197.0;187.907;875.868;21855.0
5;32;10;1;11120.0;84903.8;508409.0;423516.0;57.7309;311.755;288.0;809.115;314.292;77048.0;9998.65;82910.8;404197.0;254.243;1367.0;26871.0
5;20;5;0;;;;;;;;;;;;;;;;
5;20;5;1;1618.84;12206.5;72714.0;60900.0;26.6753;77.9713;102.0;149.43;78.3983;14062.0;1389.89;11725.6;53759.0;52.7314;324.539;4788.0
