NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
2;32;5;0;479.739;0.236772;20505.0;0.473544;14.6873;0.0;0.0;220.422;0.18816;8960.0;0.152653;0.012852;6.0;244.165;0.035548;11530.0
3;32;5;0;544.951;0.473544;35179.0;1.26332;20.1834;0.0;0.0;270.169;0.37632;13440.0;0.17795;0.025704;8.0;254.097;0.071096;21720.0
4;32;5;0;526.221;0.710316;49853.0;2.36933;25.6732;0.0;0.0;251.251;0.56448;17920.0;0.164919;0.038556;10.0;248.835;0.106644;31910.0
5;32;5;0;526.132;0.947088;64527.0;3.79157;31.1754;0.0;0.0;246.226;0.75264;22400.0;0.165698;0.051408;12.0;248.27;0.142192;42100.0
6;32;5;0;525.893;1.18386;79201.0;5.53004;36.67;0.0;0.0;241.88;0.9408;26880.0;0.167481;0.06426;14.0;246.883;0.17774;52290.0
7;32;5;0;530.157;1.42063;93875.0;7.58474;42.2193;0.0;0.0;240.29;1.12896;31360.0;0.1746;0.077112;16.0;247.178;0.213288;62480.0
8;32;5;0;535.906;1.6574;108549.0;9.95568;47.7335;0.0;0.0;240.68;1.31712;35840.0;0.159976;0.089964;18.0;247.044;0.248836;72670.0
9;32;5;0;540.633;1.89418;123223.0;12.6428;53.2615;0.0;0.0;239.883;1.50528;40320.0;0.161252;0.102816;20.0;247.044;0.284384;82860.0
5;32;2;0;119.61;0.2088;9579.0;0.854112;31.1655;0.0;0.0;56.2921;0.172032;5120.0;0.158881;0.0084;12.0;31.6987;0.02752;4432.0
5;32;3;0;210.619;0.397264;20943.0;1.61;31.147;0.0;0.0;105.518;0.32256;9600.0;0.162878;0.01864;12.0;73.4958;0.055216;11316.0
5;32;4;0;343.648;0.642592;38747.0;2.58762;31.2024;0.0;0.0;168.837;0.516096;15360.0;0.162568;0.032976;12.0;143.151;0.092672;23360.0
5;32;5;0;526.271;0.947088;64527.0;3.79157;31.167;0.0;0.0;246.331;0.75264;22400.0;0.164555;0.051408;12.0;248.314;0.142192;42100.0
5;32;6;0;766.055;1.30998;99819.0;5.22032;31.1789;0.0;0.0;337.695;1.03219;30720.0;0.166145;0.073936;12.0;396.722;0.203008;69072.0
5;32;7;0;1071.04;1.73435;146159.0;6.88002;31.2144;0.0;0.0;443.19;1.35475;40320.0;0.16824;0.10056;12.0;596.171;0.278192;105812.0
5;32;8;0;1448.99;2.21866;205083.0;8.76758;31.168;0.0;0.0;562.762;1.72032;51200.0;0.16999;0.13128;12.0;854.594;0.366208;153856.0
5;32;9;0;1907.77;2.76789;278127.0;10.893;31.0965;0.0;0.0;696.442;2.1289;63360.0;0.173813;0.166096;12.0;1179.76;0.472048;214740.0
5;32;10;0;2457.19;3.37469;366847;13.2329;31.1862;0.0;0;844.331;2.58048;76800;0.193281;0.205008;12;1581.18;0.588352;290020
2;32;5;1;272.786;0.203556;10765.0;0.407112;14.6566;0.0;0.0;220.549;0.18816;8960.0;0.152677;0.012852;6.0;37.3184;0.002436;1796.0
3;32;5;1;328.576;0.407112;16913.0;1.08639;20.1637;0.0;0.0;270.002;0.37632;13440.0;0.178235;0.025704;8.0;38.1269;0.004872;3462.0
4;32;5;1;314.775;0.610668;23061.0;2.03784;25.6325;0.0;0.0;251.217;0.56448;17920.0;0.165208;0.038556;10.0;37.6609;0.007308;5128.0
5;32;5;1;315.241;0.814224;29209.0;3.26146;31.1266;0.0;0.0;246.23;0.75264;22400.0;0.163863;0.051408;12.0;37.6264;0.009744;6794.0
6;32;5;1;316.462;1.01778;35357.0;4.75724;36.6824;0.0;0.0;241.993;0.9408;26880.0;0.168668;0.06426;14.0;37.5301;0.01218;8460.0
7;32;5;1;320.384;1.22134;41505.0;6.52519;42.2105;0.0;0.0;240.356;1.12896;31360.0;0.176343;0.077112;16.0;37.547;0.014616;10126.0
8;32;5;1;326.033;1.42489;47653.0;8.56531;47.699;0.0;0.0;240.506;1.31712;35840.0;0.163582;0.089964;18.0;37.5705;0.017052;11792.0
9;32;5;1;330.952;1.62845;53801.0;10.8776;53.2677;0.0;0.0;239.864;1.50528;40320.0;0.161236;0.102816;20.0;37.5689;0.019488;13458.0
5;32;2;1;97.8927;0.187664;6551.0;0.763984;31.0959;0.0;0.0;56.272;0.172032;5120.0;0.158125;0.0084;12.0;10.2726;0.006896;1416.0
5;32;3;1;153.708;0.349008;12313.0;1.40885;31.1185;0.0;0.0;105.509;0.32256;9600.0;0.161096;0.01864;12.0;16.825;0.00744;2698.0
5;32;4;1;226.157;0.557936;19865.0;2.24171;31.1638;0.0;0.0;168.778;0.516096;15360.0;0.162487;0.032976;12.0;25.9585;0.008464;4490.0
5;32;5;1;315.241;0.814224;29209.0;3.26146;31.1673;0.0;0.0;246.162;0.75264;22400.0;0.163815;0.051408;12.0;37.6535;0.009744;6794.0
5;32;6;1;421.009;1.11787;40345.0;4.46808;31.1398;0.0;0.0;337.668;1.03219;30720.0;0.166238;0.073936;12.0;51.9361;0.01128;9610.0
5;32;7;1;543.484;1.46888;53273.0;5.86158;31.1444;0.0;0.0;443.223;1.35475;40320.0;0.167438;0.10056;12.0;68.8548;0.013072;12938.0
5;32;8;1;682.531;1.86725;67993.0;7.44197;31.162;0.0;0.0;562.747;1.72032;51200.0;0.171354;0.13128;12.0;88.3606;0.01512;16778.0
5;32;9;1;838.438;2.3131;84505.0;9.20949;31.2051;0.0;0.0;696.484;2.1289;63360.0;0.173735;0.166096;12.0;110.481;0.017552;21130.0
5;32;10;1;1011.03;2.80533;102813.0;11.1593;31.1611;0.0;0.0;844.195;2.58048;76800.0;0.188413;0.205008;12.0;135.349;0.019536;25996.0
5;20;5;0;349.834;0.627168;42927.0;2.51525;19.9055;0.0;0.0;153.917;0.4704;14000.0;0.162449;0.032208;12.0;175.555;0.123712;28900.0
5;20;5;1;197.585;0.509424;18265.0;2.04072;19.8976;0.0;0.0;153.84;0.4704;14000.0;0.160832;0.032208;12.0;23.5919;0.006384;4250.0
5;40;5;0;643.901;1.16037;78927.0;4.64245;38.6796;0.0;0.0;307.757;0.9408;28000.0;0.165066;0.064208;12.0;297.008;0.154512;50900.0
5;40;5;1;393.853;1.01742;36505.0;4.07528;38.6858;0.0;0.0;307.819;0.9408;28000.0;0.161992;0.064208;12.0;47.0912;0.011984;8490.0
