NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
2;32;5;0;4.81338;0.236772;20505;0.473544;4.46846;0.0;0;0.161072;0.18816;8960;0.00346641;0.012852;6;0.179547;0.035548;11530
3;32;5;0;5.44938;0.473544;35179;1.26332;4.95662;0.0;0;0.280803;0.37632;13440;0.00331179;0.025704;8;0.207705;0.071096;21720
4;32;5;0;6.27761;0.710316;49853;2.36933;5.35435;0.0;0;0.596749;0.56448;17920;0.00352627;0.038556;10;0.321737;0.106644;31910
5;32;5;0;6.89285;0.947088;64527;3.79157;5.8182;0.0;0;0.665583;0.75264;22400;0.00362543;0.051408;12;0.403997;0.142192;42100
6;32;5;0;7.57413;1.18386;79201;5.53004;6.24504;0.0;0;0.815921;0.9408;26880;0.00614877;0.06426;14;0.50526;0.17774;52290
7;32;5;0;8.33124;1.42063;93875;7.58474;6.73241;0.0;0;0.997275;1.12896;31360;0.00699724;0.077112;16;0.59256;0.213288;62480
8;32;5;0;9.2824;1.6574;108549;9.95568;7.2058;0.0;0;1.27388;1.31712;35840;0.0100699;0.089964;18;0.790628;0.248836;72670
9;32;5;0;10.7734;1.89418;123223;12.6428;7.6537;0.0;0;2.00222;1.50528;40320;0.00715943;0.102816;20;1.10391;0.284384;82860
5;32;2;0;6.10543;0.2088;9579;0.854112;5.86935;0.0;0;0.155952;0.172032;5120;0.00105992;0.0084;12;0.0776008;0.02752;4432
5;32;3;0;6.26895;0.397264;20943;1.61;5.84787;0.0;0;0.292071;0.32256;9600;0.00258152;0.01864;12;0.124992;0.055216;11316
5;32;4;0;6.5814;0.642592;38747;2.58762;5.83668;0.0;0;0.47613;0.516096;15360;0.00419281;0.032976;12;0.262869;0.092672;23360
5;32;5;0;6.97003;0.947088;64527;3.79157;5.86016;0.0;0;0.671095;0.75264;22400;0.00359156;0.051408;12;0.43381;0.142192;42100
