NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
5;32;2;0;41.0854;0.063332;863;0.178984;31.1496;0.0;0;8.52099;0.052224;704;0.162013;0.0084;12;1.13782;0.002372;144
5;32;2;1;40.3383;0.061664;759;0.172288;31.1801;0.0;0;8.51094;0.052224;704;0.158035;0.0084;12;0.348104;0.000736;38
5;32;3;0;43.5126;0.108228;1173;0.278616;31.2112;0.0;0;8.51509;0.080896;704;0.159917;0.01864;12;3.51122;0.008324;454
5;32;3;1;40.7751;0.10192;813;0.254528;31.1709;0.0;0;8.52414;0.080896;704;0.160164;0.01864;12;0.778305;0.00208;92
5;32;4;0;47.2192;0.170388;1659;0.419784;31.2136;0.0;0;8.52278;0.11776;704;0.162814;0.032976;12;7.20457;0.019252;940
5;32;4;1;41.3185;0.155264;883;0.363328;31.21;0.0;0;8.51649;0.11776;704;0.160721;0.032976;12;1.29058;0.004224;162
5;32;5;0;52.4978;0.248356;2331;0.592856;31.2226;0.0;0;8.52604;0.162816;704;0.166041;0.051408;12;12.468;0.0337;1612
5;32;5;1;41.9586;0.221888;969;0.499072;31.2509;0.0;0;8.51689;0.162816;704;0.165673;0.051408;12;1.88398;0.00736;248
5;32;6;0;59.1721;0.344344;3181;0.806672;31.2754;0.0;0;8.52813;0.216064;704;0.167796;0.073936;12;19.0892;0.05388;2462
5;32;6;1;42.6334;0.301984;1071;0.662144;31.2478;0.0;0;8.51779;0.216064;704;0.167555;0.073936;12;2.55921;0.01168;350
5;32;7;0;67.1526;0.458876;4211;1.06151;31.2191;0.0;0;8.53512;0.277504;704;0.167931;0.10056;12;27.1147;0.080316;3492
5;32;7;1;43.4188;0.395744;1189;0.852928;31.2406;0.0;0;8.51687;0.277504;704;0.170288;0.10056;12;3.32744;0.017376;468
5;32;8;0;76.6469;0.59272;5421;1.35891;31.2104;0.0;0;8.55277;0.347136;704;0.16986;0.13128;12;36.5981;0.113776;4702
5;32;8;1;44.264;0.50336;1323;1.07181;31.257;0.0;0;8.52802;0.347136;704;0.171491;0.13128;12;4.1622;0.02464;602
5;32;9;0;87.5378;0.746712;6811;1.70054;31.2873;0.0;0;8.51839;0.42496;704;0.174311;0.166096;12;47.446;0.155096;6092
5;32;9;1;45.177;0.625024;1473;1.31917;31.2499;0.0;0;8.52757;0.42496;704;0.168925;0.166096;12;5.0895;0.033664;752
5;32;10;0;100.368;0.91602;8401;2.06033;31.271;0.0;0;8.54456;0.510976;704;0.197706;0.205008;12;60.1928;0.199732;7680
5;32;10;1;46.6492;0.755744;1657;1.56947;31.2651;0.0;0;8.52863;0.510976;704;0.196436;0.205008;12;6.51761;0.039456;936
5;20;5;0;37.9705;0.165588;2067;0.41004;19.9167;0.0;0;5.33007;0.10176;440;0.160566;0.032208;12;12.4515;0.031188;1612
5;20;5;1;27.4289;0.14032;705;0.318656;19.9222;0.0;0;5.32145;0.10176;440;0.16211;0.032208;12;1.87834;0.006048;248
5;40;5;0;62.2283;0.30354;2507;0.714744;38.7971;0.0;0;10.6791;0.20352;880;0.166379;0.064208;12;12.4742;0.03538;1612
5;40;5;1;51.6055;0.276272;1145;0.61936;38.7655;0.0;0;10.6467;0.20352;880;0.165172;0.064208;12;1.88339;0.00824;248
5;60;5;0;86.4571;0.441508;2947;1.01948;57.7094;0.0;0;15.977;0.30528;1320;0.168082;0.096208;12;12.4866;0.039588;1612
5;60;5;1;75.9204;0.41224;1585;0.920096;57.7321;0.0;0;15.9835;0.30528;1320;0.169283;0.096208;12;1.89026;0.010448;248
5;80;5;0;110.695;0.57946;3387;1.32418;76.6046;0.0;0;21.3298;0.40704;1760;0.171049;0.128208;12;12.4738;0.04378;1612
5;80;5;1;100.054;0.548192;2025;1.2208;76.5296;0.0;0;21.313;0.40704;1760;0.172607;0.128208;12;1.89324;0.01264;248
5;100;5;0;134.866;0.717428;3827;1.62892;95.4199;0.0;0;26.6702;0.5088;2200;0.172431;0.160208;12;12.4899;0.047988;1612
5;100;5;1;124.352;0.68416;2465;1.52154;95.4836;0.0;0;26.6484;0.5088;2200;0.176392;0.160208;12;1.89778;0.014848;248
5;120;5;0;159.06;0.85538;4267;1.93362;114.307;0.0;0;31.9554;0.61056;2640;0.197415;0.192208;12;12.4844;0.05218;1612
5;120;5;1;148.651;0.820112;2905;1.82224;114.436;0.0;0;31.9741;0.61056;2640;0.193869;0.192208;12;1.90617;0.01704;248
5;140;5;0;183.347;0.993348;4707;2.23836;133.239;0.0;0;37.3035;0.71232;3080;0.195224;0.224208;12;12.4966;0.056388;1612
5;140;5;1;172.863;0.95608;3345;2.12298;133.289;0.0;0;37.329;0.71232;3080;0.189548;0.224208;12;1.91359;0.019248;248
5;160;5;0;207.583;1.1313;5147;2.54306;152.149;0.0;0;42.633;0.81408;3520;0.193255;0.256208;12;12.492;0.06058;1612
5;160;5;1;196.92;1.09203;3785;2.42368;152.059;0.0;0;42.5974;0.81408;3520;0.200007;0.256208;12;1.91714;0.02144;248
5;180;5;0;231.783;1.26927;5587;2.8478;171.029;0.0;0;47.9286;0.91584;3960;0.198354;0.288208;12;12.5138;0.064788;1612
5;180;5;1;221.302;1.228;4225;2.72442;171.08;0.0;0;47.9588;0.91584;3960;0.198904;0.288208;12;1.92255;0.023648;248
5;200;5;0;256.119;1.40722;6027;3.1525;189.986;0.0;0;53.313;1.0176;4400;0.201454;0.320208;12;12.5035;0.06898;1612
5;200;5;1;245.581;1.36395;4665;3.02512;189.984;0.0;0;53.324;1.0176;4400;0.202172;0.320208;12;1.92476;0.02584;248
5;220;5;0;280.149;1.54519;6467;3.45724;208.704;0.0;0;58.6033;1.11936;4840;0.210724;0.352208;12;12.5175;0.073188;1612
5;220;5;1;269.848;1.49992;5105;3.32586;208.94;0.0;0;58.6305;1.11936;4840;0.209502;0.352208;12;1.92647;0.028048;248
5;240;5;0;304.453;1.68314;6907;3.76194;227.678;0.0;0;63.9277;1.22112;5280;0.208052;0.384208;12;12.5249;0.07738;1612
5;240;5;1;293.779;1.63587;5545;3.62656;227.517;0.0;0;63.9792;1.22112;5280;0.205479;0.384208;12;1.93449;0.03024;248
5;260;5;0;328.855;1.82111;7347;4.06668;246.698;0.0;0;69.3028;1.32288;5720;0.215415;0.416208;12;12.5218;0.081588;1612
5;260;5;1;318.133;1.77184;5985;3.9273;246.482;0.0;0;69.3566;1.32288;5720;0.21435;0.416208;12;1.93698;0.032448;248
5;280;5;0;352.962;1.95906;7787;4.37138;265.481;0.0;0;74.622;1.42464;6160;0.217072;0.448208;12;12.5272;0.08578;1612
5;280;5;1;341.7;1.90779;6425;4.228;264.744;0.0;0;74.6382;1.42464;6160;0.21455;0.448208;12;1.96137;0.03464;248
5;300;5;0;377.253;2.09703;8227;4.67612;284.397;0.0;0;79.9724;1.5264;6600;0.217212;0.480208;12;12.5514;0.089988;1612
5;300;5;1;366.695;2.04376;6865;4.52874;284.461;0.0;0;79.9224;1.5264;6600;0.216207;0.480208;12;1.94897;0.036848;248
5;320;5;0;401.611;2.23498;8667;4.98082;303.422;0.0;0;85.3047;1.62816;7040;0.225261;0.512208;12;12.5408;0.09418;1612
5;320;5;1;390.685;2.17971;7305;4.82944;303.083;0.0;0;85.2837;1.62816;7040;0.228521;0.512208;12;1.94672;0.03904;248
5;340;5;0;425.838;2.37295;9107;5.28556;322.369;0.0;0;90.5871;1.72992;7480;0.226054;0.544208;12;12.5366;0.098388;1612
5;340;5;1;415.083;2.31568;7745;5.13018;322.05;0.0;0;90.6887;1.72992;7480;0.225861;0.544208;12;1.97157;0.041248;248
5;360;5;0;450.066;2.5109;9547;5.59026;341.161;0.0;0;95.985;1.83168;7920;0.241826;0.576208;12;12.5593;0.10258;1612
5;360;5;1;438.888;2.45163;8185;5.43088;340.613;0.0;0;95.9414;1.83168;7920;0.233081;0.576208;12;1.95722;0.04344;248
5;380;5;0;473.95;2.64887;9987;5.895;359.766;0.0;0;101.287;1.93344;8360;0.235755;0.608208;12;12.5465;0.106788;1612
5;380;5;1;463.341;2.5876;8625;5.73162;359.697;0.0;0;101.309;1.93344;8360;0.233255;0.608208;12;1.95791;0.045648;248
5;400;5;0;498.476;2.78682;10427;6.1997;378.92;0.0;0;106.661;2.0352;8800;0.228703;0.640208;12;12.5471;0.11098;1612
5;400;5;1;487.573;2.72355;9065;6.03232;378.608;0.0;0;106.625;2.0352;8800;0.242054;0.640208;12;1.95441;0.04784;248
5;420;5;0;522.229;2.92479;10867;6.50444;397.411;0.0;0;111.911;2.13696;9240;0.230799;0.672208;12;12.5563;0.115188;1612
5;420;5;1;512.04;2.85952;9505;6.33306;397.788;0.0;0;111.91;2.13696;9240;0.235539;0.672208;12;1.95982;0.050048;248
5;440;5;0;546.8;3.06274;11307;6.80914;416.619;0.0;0;117.263;2.23872;9680;0.235464;0.704208;12;12.5644;0.11938;1612
5;440;5;1;535.88;2.99547;9945;6.63376;416.289;0.0;0;117.242;2.23872;9680;0.235637;0.704208;12;1.96989;0.05224;248
5;460;5;0;570.883;3.20071;11747;7.11388;435.341;0.0;0;122.595;2.34048;10120;0.245215;0.736208;12;12.5812;0.123588;1612
5;460;5;1;560.607;3.13144;10385;6.9345;435.615;0.0;0;122.63;2.34048;10120;0.247831;0.736208;12;1.97056;0.054448;248
5;480;5;0;595.424;3.33866;12187;7.41858;454.554;0.0;0;127.926;2.44224;10560;0.247881;0.768208;12;12.5799;0.12778;1612
5;480;5;1;584.87;3.26739;10825;7.2352;454.623;0.0;0;127.877;2.44224;10560;0.252122;0.768208;12;1.97338;0.05664;248
5;500;5;0;619.399;3.47663;12627;7.72332;473.219;0.0;0;133.222;2.544;11000;0.266427;0.800208;12;12.5715;0.131988;1612
5;500;5;1;609.077;3.40336;11265;7.53594;473.493;0.0;0;133.197;2.544;11000;0.265419;0.800208;12;1.97491;0.058848;248
5;520;5;0;643.789;3.61458;13067;8.02802;492.288;0.0;0;138.538;2.64576;11440;0.259525;0.832208;12;12.5851;0.13618;1612
5;520;5;1;633.142;3.53931;11705;7.83664;492.214;0.0;0;138.532;2.64576;11440;0.271167;0.832208;12;1.97964;0.06104;248
5;540;5;0;667.824;3.75255;13507;8.33276;510.96;0.0;0;143.904;2.74752;11880;0.267524;0.864208;12;12.577;0.140388;1612
