NUM_SERVERS;NUM_VOTERS;NUM_CANDS;RUN_LEAK_VERSION;total_time_s;data_sent_mb;data_sent_rounds;global_data_sent_mb;send_and_receive_ballots_time_s;send_and_receive_ballots_data_mb;send_and_receive_ballots_rounds;clean_ballots_time_s;clean_ballots_data_mb;clean_ballots_rounds;convert_ballots_time_s;convert_ballots_data_mb;convert_ballots_rounds;tally_time_s;tally_data_mb;tally_rounds
2;32;5;0;594.253;0.173869;25039;0.347738;14.483;0.0;0;332.239;0.13664;13440;0.157133;0.008046;6;246.976;0.029005;11580
3;32;5;0;665.292;0.347738;39413;0.941284;19.9851;0.0;0;387.161;0.27328;17920;0.174455;0.016092;8;257.543;0.05801;21470
4;32;5;0;629.517;0.521607;53787;1.78064;25.4938;0.0;0;352.459;0.40992;22400;0.159246;0.024138;10;251.018;0.087015;31360
5;32;5;0;632.675;0.695476;68161;2.8658;31.0;0.0;0;350.439;0.54656;26880;0.157935;0.032184;12;250.689;0.11602;41250
6;32;5;0;626.188;0.869345;82535;4.19677;36.5799;0.0;0;340.264;0.6832;31360;0.165676;0.04023;14;248.789;0.145025;51140
7;32;5;0;632.7;1.04321;96909;5.77355;42.0179;0.0;0;341.081;0.81984;35840;0.158872;0.048276;16;249.072;0.17403;61030
8;32;5;0;637.209;1.21708;111283;7.59613;47.5742;0.0;0;340.15;0.95648;40320;0.153079;0.056322;18;248.963;0.203035;70920
9;32;5;0;641.561;1.39095;125657;9.66453;53.0954;0.0;0;339.031;1.09312;44800;0.159039;0.064368;20;248.901;0.23204;80810
5;32;2;0;143.684;0.154384;10471;0.651848;30.9988;0.0;0;80.0883;0.124928;6144;0.156443;0.005304;12;32.0526;0.02344;4296
5;32;3;0;255.932;0.292532;22561;1.2226;30.9859;0.0;0;150.083;0.23424;11520;0.157152;0.011704;12;74.322;0.045876;11010
5;32;4;0;416.537;0.472128;41279;1.95905;31.0022;0.0;0;240.4;0.374784;18432;0.15833;0.020664;12;144.592;0.075968;22816
5;32;5;0;632.654;0.695476;68161;2.8658;30.9673;0.0;0;350.452;0.54656;26880;0.158477;0.032184;12;250.689;0.11602;41250
5;32;6;0;912.592;0.961808;104743;3.94132;30.9836;0.0;0;480.756;0.749568;36864;0.16274;0.046264;12;400.302;0.165264;67848
5;32;7;0;1263.95;1.2742;152561;5.19175;30.9678;0.0;0;631.024;0.983808;48384;0.168012;0.062904;12;601.401;0.226772;104146
5;32;8;0;1694.64;1.6311;213151;6.61402;31.0128;0.0;0;801.341;1.24928;61440;0.161557;0.082104;12;861.744;0.299008;151680
5;32;9;0;2212.23;2.03752;288049;8.21812;30.9369;0.0;0;991.582;1.54598;76032;0.162539;0.103864;12;1189.16;0.386964;211986
5;32;10;0;2825.27;2.4861;378811;9.98068;30.9289;0.0;0;1201.91;1.87392;92160;0.168326;0.128184;12;1591.87;0.48328;286620
2;32;5;1;383.567;0.14713;15247;0.29426;14.5141;0.0;0;331.376;0.13664;13440;0.167337;0.008046;6;37.4017;0.002336;1798
3;32;5;1;445.666;0.29426;21395;0.797816;19.9846;0.0;0;387.148;0.27328;17920;0.17491;0.016092;8;38.2525;0.004672;3464
4;32;5;1;416.162;0.44139;27543;1.51067;25.4778;0.0;0;352.683;0.40992;22400;0.1626;0.024138;10;37.7468;0.007008;5130
5;32;5;1;419.733;0.58852;33691;2.43282;30.9595;0.0;0;350.782;0.54656;26880;0.15872;0.032184;12;37.7383;0.009344;6796
6;32;5;1;415.423;0.73565;39839;3.56426;36.4981;0.0;0;341.06;0.6832;31360;0.165564;0.04023;14;37.6067;0.01168;8462
7;32;5;1;420.897;0.88278;45987;4.905;42.0276;0.0;0;340.963;0.81984;35840;0.156476;0.048276;16;37.6617;0.014016;10128
8;32;5;1;425.395;1.02991;52135;6.45504;47.5699;0.0;0;339.896;0.95648;40320;0.151844;0.056322;18;37.688;0.016352;11794
9;32;5;1;430.039;1.17704;58283;8.21437;53.1257;0.0;0;339.03;1.09312;44800;0.153971;0.064368;20;37.6386;0.018688;13460
5;32;2;1;121.669;0.137328;7577;0.57696;30.9713;0.0;0;80.1287;0.124928;6144;0.153054;0.005304;12;10.3205;0.00676;1418
5;32;3;1;198.281;0.253528;14235;1.05608;30.9832;0.0;0;150.15;0.23424;11520;0.161125;0.011704;12;16.8924;0.007216;2700
5;32;4;1;297.651;0.404;22939;1.67507;31.0322;0.0;0;240.339;0.374784;18432;0.161407;0.020664;12;26.0242;0.008152;4492
5;32;5;1;419.539;0.58852;33691;2.43282;31.041;0.0;0;350.486;0.54656;26880;0.158457;0.032184;12;37.7596;0.009344;6796
5;32;6;1;564.046;0.807088;46491;3.32931;31.0418;0.0;0;480.659;0.749568;36864;0.159783;0.046264;12;52.0908;0.010792;9612
5;32;7;1;731.024;1.0597;61339;4.36456;31.0342;0.0;0;630.698;0.983808;48384;0.160158;0.062904;12;69.0401;0.012496;12940
5;32;8;1;921.094;1.34637;78235;5.53856;31.0224;0.0;0;801.228;1.24928;61440;0.161376;0.082104;12;88.5873;0.014456;16780
5;32;9;1;1133.32;1.66721;97179;6.85157;30.943;0.0;0;991.365;1.54598;76032;0.166146;0.103864;12;110.751;0.0168;21132
